open-tessera,pente-threat-4,pente-threat-31,pente-threat-22,open-tria,stretch-tria,open-pair,capture-threat,stretch-two,three-gap,pente-potential-1,pente-potential-2,captures,4-captures,can-block-trias,non-quiet-moves,move-index,not-in-shape,won
0,-1,0,0,0,0,1,1,-1,1,0,0,0,0,0,1,22,-1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,5,20,2,0
0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,4,21,1,1
0,0,0,0,0,-1,-3,0,1,0,0,0,-1,0,0,3,9,0,1
0,0,0,0,0,0,-1,-1,1,-1,0,0,0,0,0,2,23,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,-1,1
0,0,0,0,0,0,1,0,-2,0,0,0,0,0,0,2,16,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
0,0,0,-1,0,-1,-1,1,0,1,0,0,0,0,0,1,24,0,0
0,0,0,0,0,0,2,-1,-1,0,0,0,1,0,1,0,10,2,0
0,0,0,0,-1,1,0,1,-2,-1,0,0,-1,0,1,7,25,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0
0,-1,-1,0,1,0,-2,0,0,-1,0,0,-1,0,0,1,29,2,0
0,0,0,0,0,-1,-2,-1,2,0,0,0,0,0,0,5,13,-1,0
0,0,0,0,0,0,1,1,-2,0,0,0,0,0,1,4,22,-3,1
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,3,10,1,1
0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,11,-1,0
0,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,6,14,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
0,0,0,0,0,0,0,1,-2,1,0,0,0,0,1,6,24,-5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,-1,0
0,0,0,0,-1,0,1,1,-2,0,0,0,0,0,0,7,12,1,1
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,4,2,1
0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,2,18,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0
0,-1,0,0,1,-1,-3,0,1,-1,0,0,-1,0,0,1,31,4,0
0,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,4,16,0,1
0,0,0,0,-1,0,0,2,-1,1,0,0,0,0,0,9,26,-4,1
0,0,0,0,-1,0,0,2,0,1,0,0,0,0,0,7,28,-1,1
0,0,0,0,-1,1,3,0,-1,1,0,0,1,0,0,8,32,-5,1
0,0,0,0,-1,0,2,0,0,1,0,0,1,0,0,7,30,-3,1
0,0,0,0,0,0,-1,-2,2,-1,0,0,0,0,0,0,25,5,0
0,-1,0,0,1,0,0,-2,0,-1,0,0,0,0,0,1,27,4,0
0,0,0,0,-1,0,-1,-1,2,0,0,0,0,0,0,5,19,1,0
